OBJECTID,IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO_Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors,CollisionYear,CityCrash
3734,28630241,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,ALVES,ST,N,,,,,,,37.8388704,-87.58344329,0.286,2021-09-06,1729,2,2,0,0,CLEAR,DRY,False,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44447.63586,False,50,Accepted,5,5,O,,"DISTRACTION, INATTENTION, OTHER",,2021,1
3735,28630244,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,29,ALVES,ST,S,,,,,,,37.83480442,-87.58638704,1.173,2021-09-07,1349,2,2,0,0,CLEAR,DRY,False,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,44447.63592,False,25,Accepted,5,5,O,,"INATTENTION, MISJUDGE CLEARANCE",,2021,1
3736,28631373,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,CENTER,ST,,,INGRAM,,,,,37.83652933,-87.58861295,0.752,2021-08-14,1505,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44447.66313,False,44,Accepted,5,5,O,,,STEERING FAILURE,2021,1
3738,28640595,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041,,US41,,N,,,,,,,37.83833474,-87.56449147,14.668,2021-09-01,1814,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT,,,44448.64975,False,59,Accepted,5,5,O,,FAILED TO YIELD RIGHT OF WAY,,2021,1
3739,28640596,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041,,US41,,N,,WATSON,,,,,37.87534317,-87.56769271,17.415,2021-09-08,1433,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44448.64979,False,59,Accepted,5,5,O,,FAILED TO KEEP PROPER LANE,,2021,1
3741,28641262,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,WATSON,LN,,US0041,US41,,,,,37.87537473,-87.56776334,1.098,2021-09-05,1600,2,2,0,0,CLEAR,DRY,True,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44448.76895,False,17,Accepted,5,5,O,,,,2021,1
3742,28643232,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,100,GREEN,ST,N,,,,,,,37.83863425,-87.58895363,15.86,2021-09-07,1211,2,2,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44449.38028,False,26,Accepted,5,5,O,,MISJUDGE CLEARANCE,,2021,1
3743,28643233,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,GREEN,ST,N,,4TH,,,,,37.8420579,-87.58683573,16.12,2021-09-09,743,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44449.38042,False,26,Accepted,5,5,O,,MISJUDGE CLEARANCE,,2021,1
3744,28643234,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,1807,GREEN,ST,S,,,,,,,37.81376026,-87.61855639,13.389,2021-08-25,1006,1,1,0,1,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44449.38049,False,26,Accepted,4,4,C,,,,2021,1
3745,28648437,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0060,,US60,,E,,,,,,,37.85925371,-87.56945021,10.441,2021-09-10,1454,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44450.93947,False,50,Accepted,5,5,O,,INATTENTION,,2021,1
